,Time_Step,Service_ID,Service_week,Demand_ID,Containers_Moved,Demand_Announce_time,Demand_Release_time,Demand_Due_time,Storage_hours,delay_hours,Number of transshipments,storage_cost,delay_penalty,handling_cost,transportation_cost,real_objective,Potential_Services,Potential_Requests,Solution_Number,Objective_Value
105,11,"Barge19, Truck30",0,Request12,9,11,0,88,0.0,0.0,1,0.0,0.0,378.0,1004.4864,1193.4864,558,11,3,1517.4863999999943
106,11,"Barge20, Truck30",0,Request12,9,11,0,88,0.0,0.0,1,0.0,0.0,378.0,1004.4864,1193.4864,559,11,4,1571.4863999999943
107,11,"Barge03, Barge48, Truck33",0,Request12,9,11,0,88,0.0,0.0,2,0.0,0.0,432.0,1366.5366,1555.5366,511,11,5,1582.5365999999922
108,11,"Barge05, Barge48, Truck33",0,Request12,9,11,0,88,0.0,0.0,2,0.0,0.0,432.0,1150.5366,1339.5366,527,11,6,1582.5365999999922
109,11,"Barge07, Barge48, Truck33",0,Request12,9,11,0,88,0.0,0.0,2,0.0,0.0,432.0,934.5366,1123.5366,543,11,7,1582.5365999999922
110,11,"Barge06, Barge48, Truck33",0,Request12,9,11,0,88,0.0,0.0,2,0.0,0.0,432.0,1042.5366,1231.5366,535,11,8,1582.5365999999922
111,11,"Barge04, Barge48, Truck33",0,Request12,9,11,0,88,0.0,0.0,2,0.0,0.0,432.0,1258.5366,1447.5366,519,11,9,1582.5365999999922
112,11,"Barge21, Truck30",0,Request12,9,11,0,88,0.0,0.0,1,0.0,0.0,378.0,1004.4864,1193.4864,560,11,10,1733.4863999999943
113,12,"Barge36, Train29",0,Request13,6,12,70,162,5.0,0.0,1,5.0,0.0,252.0,418.77419999999995,574.7742,262,12,1,574.7742000000144
114,12,Train21,0,Request13,6,12,70,162,0.0,0.0,0,0.0,0.0,216.0,345.79049999999995,561.7905,268,12,2,603.7905000000028
115,12,"Barge36, Truck29",0,Request13,6,12,70,162,0.0,0.0,1,0.0,0.0,252.0,486.45869999999996,612.4586999999999,680,12,3,642.4586999999883
116,12,"Train19, Barge49",0,Request13,6,12,70,162,0.0,0.0,1,0.0,0.0,252.0,761.637,887.6370000000001,266,12,4,917.6369999999879
117,12,"Train20, Barge49",0,Request13,6,12,70,162,0.0,0.0,1,0.0,0.0,252.0,617.637,743.637,267,12,5,917.6369999999879
118,12,"Train19, Truck32",0,Request13,6,12,70,162,0.0,0.0,1,0.0,0.0,432.0,695.6565,911.6564999999999,683,12,6,941.6565000000119
119,12,"Train17, Train29",0,Request13,6,12,70,162,0.0,0.0,1,0.0,0.0,432.0,752.226,968.2259999999999,264,12,7,1016.2259999999951
120,12,"Train18, Train29",0,Request13,6,12,70,162,0.0,0.0,1,0.0,0.0,432.0,608.226,824.2259999999999,265,12,8,1016.2259999999951
121,12,"Train17, Truck29",0,Request13,6,12,70,162,0.0,0.0,1,0.0,0.0,432.0,783.9105,999.9105,681,12,9,1047.9104999999981
122,12,"Train20, Truck32",0,Request13,6,12,70,162,0.0,0.0,1,0.0,0.0,432.0,695.6565,911.6564999999999,684,12,10,1085.6565000000119
123,13,Barge37,0,Request14,27,13,73,191,30.0,0.0,0,30.0,0.0,162.0,415.07235,1387.07235,249,13,1,1387.0723500000022
124,13,Train19,0,Request14,27,13,73,191,0.0,0.0,0,0.0,0.0,972.0,1838.9767499999998,2810.97675,250,13,2,2864.9767500000016
125,13,Train20,0,Request14,27,13,73,191,0.0,0.0,0,0.0,0.0,972.0,1838.9767499999998,2810.97675,251,13,3,3512.9767500000016
126,14,Barge17,0,Request15,15,14,2,153,10.0,0.0,0,10.0,0.0,90.0,181.6815,421.68149999999997,37,14,1,421.68150000000605
127,14,Barge18,0,Request15,15,14,2,153,0.0,0.0,0,0.0,0.0,90.0,181.6815,271.68149999999997,38,14,2,511.68150000000605
128,14,Barge19,0,Request15,15,14,2,153,0.0,0.0,0,0.0,0.0,90.0,181.6815,271.68149999999997,39,14,3,781.681500000006
129,14,Barge20,0,Request15,15,14,2,153,0.0,0.0,0,0.0,0.0,90.0,181.6815,271.68149999999997,40,14,4,871.681500000006
130,14,Barge21,0,Request15,15,14,2,153,0.0,0.0,0,0.0,0.0,90.0,181.6815,271.68149999999997,41,14,5,1141.681500000006
131,14,Barge22,0,Request15,15,14,2,153,0.0,0.0,0,0.0,0.0,90.0,181.6815,271.68149999999997,42,14,6,1231.681500000006
132,14,Train03,0,Request15,15,14,2,153,0.0,0.0,0,0.0,0.0,540.0,628.71,1168.71,48,14,7,1273.7099999999919
133,14,Train01,0,Request15,15,14,2,153,0.0,0.0,0,0.0,0.0,540.0,628.71,1168.71,46,14,8,1378.7099999999919
134,14,"Barge01, Barge36",0,Request15,15,14,2,153,0.0,0.0,1,0.0,0.0,180.0,562.64475,652.64475,18,14,9,1417.6447500000068
135,14,Barge23,0,Request15,15,14,2,153,0.0,0.0,0,0.0,0.0,90.0,181.6815,271.68149999999997,43,14,10,1591.681500000006
136,16,"Train11, Train32",0,Request17,11,16,96,217,3.0,0.0,1,3.0,0.0,792.0,1403.4762500000002,1832.4762500000002,179,16,1,1832.476250000007
137,16,"Train11, Truck33",0,Request17,11,16,96,217,0.0,0.0,1,0.0,0.0,792.0,1610.0645000000002,2006.0645000000002,572,16,2,2039.0645000000077
138,17,Barge23,0,Request18,21,17,75,179,15.0,0.0,0,15.0,0.0,126.0,254.3541,695.3541,43,17,1,695.3540999999968
139,17,Barge24,0,Request18,21,17,75,179,0.0,0.0,0,0.0,0.0,126.0,254.3541,380.35409999999996,44,17,2,821.3540999999968
140,17,Barge25,0,Request18,21,17,75,179,0.0,0.0,0,0.0,0.0,126.0,254.3541,380.35409999999996,45,17,3,1325.3540999999968
141,17,Train06,0,Request18,21,17,75,179,0.0,0.0,0,0.0,0.0,756.0,880.1940000000001,1636.194,51,17,4,1762.1939999999886
142,17,Train07,0,Request18,21,17,75,179,0.0,0.0,0,0.0,0.0,756.0,880.1940000000001,1636.194,52,17,5,2266.1939999999886
143,17,Train08,0,Request18,21,17,75,179,0.0,0.0,0,0.0,0.0,756.0,880.1940000000001,1636.194,53,17,6,2770.1939999999886
144,18,"Barge45, Train33",0,Request19,7,18,39,199,12.0,0.0,1,12.0,0.0,294.0,1349.08445,1580.08445,349,18,1,1580.0844499999948
145,18,"Barge41, Barge48, Train33",0,Request19,7,18,39,199,0.0,0.0,2,0.0,0.0,336.0,1356.3235,1503.3235,346,18,2,1601.3234999999986
146,18,"Barge41, Barge47, Train31",0,Request19,7,18,39,199,0.0,0.0,2,0.0,0.0,336.0,1374.6291999999999,1521.6291999999999,345,18,3,1619.6291999999958
147,18,"Barge41, Train27, Train31",0,Request19,7,18,39,199,0.0,0.0,2,0.0,0.0,546.0,1788.4587000000001,1935.4587000000001,347,18,4,2033.4586999999883
148,18,"Train24, Train31",0,Request19,7,18,39,199,0.0,0.0,1,0.0,0.0,504.0,1466.0677500000002,1718.0677500000002,350,18,5,2047.0677499999874
149,18,"Barge41, Train28, Train33",0,Request19,7,18,39,199,0.0,0.0,2,0.0,0.0,546.0,1837.4587000000001,1984.4587000000001,348,18,6,2082.4586999999883
150,18,"Train26, Train33",0,Request19,7,18,39,199,0.0,0.0,1,0.0,0.0,504.0,1658.41725,1910.41725,352,18,7,2162.4172499999986
151,18,"Barge41, Truck25, Train31",0,Request19,7,18,39,199,0.0,0.0,2,0.0,0.0,546.0,2038.7892000000002,2185.7892,785,18,8,2283.7891999999993
152,18,"Barge41, Truck26, Train33",0,Request19,7,18,39,199,0.0,0.0,2,0.0,0.0,546.0,2234.2327,2381.2327,787,18,9,2479.232699999993
153,18,"Barge41, Truck25, Train31",0,Request19,7,18,39,199,0.0,0.0,2,0.0,0.0,546.0,2248.7892,2395.7892,789,18,10,2493.7891999999993
154,19,Train23,0,Request20,5,19,42,102,37.0,0.0,0,37.0,0.0,180.0,812.08375,1177.08375,298,19,1,1177.0837499999907
155,19,"Barge36, Train31",0,Request20,5,19,42,102,0.0,0.0,1,0.0,0.0,210.0,856.70725,961.70725,293,19,2,1241.7072500000068
156,19,"Barge33, Barge47, Train31",0,Request20,5,19,42,102,0.0,0.0,2,0.0,0.0,240.0,991.0242499999999,1096.02425,288,19,3,1256.0242499999877
157,19,"Barge33, Barge48, Train33",0,Request20,5,19,42,102,0.0,0.0,2,0.0,0.0,240.0,977.94875,1082.94875,289,19,4,1277.9487500000105
158,19,"Barge33, Train27, Train31",0,Request20,5,19,42,102,0.0,0.0,2,0.0,0.0,390.0,1286.6167500000001,1391.6167500000001,290,19,5,1551.6167499999865
159,19,"Train17, Train31",0,Request20,5,19,42,102,0.0,0.0,1,0.0,0.0,360.0,1134.58375,1314.5837499999998,294,19,6,1609.5837499999907
160,19,"Train18, Train31",0,Request20,5,19,42,102,0.0,0.0,1,0.0,0.0,360.0,1014.58375,1194.58375,295,19,7,1609.5837499999907
161,19,"Barge33, Train28, Train33",0,Request20,5,19,42,102,0.0,0.0,2,0.0,0.0,390.0,1321.6167500000001,1426.6167500000001,291,19,8,1621.6167499999865
162,19,"Train19, Train33",0,Request20,5,19,42,102,0.0,0.0,1,0.0,0.0,360.0,1231.97625,1411.9762500000002,296,19,9,1726.976250000007
163,19,"Train20, Train33",0,Request20,5,19,42,102,0.0,0.0,1,0.0,0.0,360.0,1111.97625,1291.9762500000002,297,19,10,1726.976250000007
164,20,"Barge26, Train32",0,Request21,15,20,59,204,23.0,0.0,1,23.0,0.0,630.0,1074.37425,1734.37425,170,20,1,1734.3742499999935
165,20,"Barge21, Train30",0,Request21,15,20,59,204,0.0,0.0,1,0.0,0.0,630.0,1444.62525,1759.62525,167,20,2,1774.6252500000119
166,20,"Barge22, Train30",0,Request21,15,20,59,204,0.0,0.0,1,0.0,0.0,630.0,1354.62525,1669.62525,168,20,3,1774.6252500000119
167,20,"Barge23, Train30",0,Request21,15,20,59,204,0.0,0.0,1,0.0,0.0,630.0,994.6252499999998,1309.6252499999998,169,20,4,1774.6252500000119
168,20,"Barge08, Barge47, Train30",0,Request21,15,20,59,204,0.0,0.0,2,0.0,0.0,720.0,1442.57625,1757.57625,159,20,5,1817.5762500000128
